Código,Produto,Categoria,Valor
242,TAÇA LOGO PARA O BAR,RECEPÇÃO,"R$0,00"
109,TAÇAS ALDEIA DOS CAMARAS,DIVERSOS,"R$15,00"
592,THINNER LATÃO,PINTURA,"R$292,84"
593,TINTA EXTERNA (BRANCA) LATÃO,PINTURA,"R$198,45"
590,TINTA INTERNA (BRANCA) LATÃO,PINTURA,"R$81,84"
963,TOALHA MESA,DECORAÇÃO,"R$0,00"
974,TOALHA MESA GRANDE,DECORAÇÃO,"R$0,00"
973,TOALHA MESA RESTAURANTE CONJUNTO,DECORAÇÃO,"R$0,00"
226,TRILHA INGRESSO,1,"R$10,00"
717,Tags,EXTRAS,"R$0,00"
922,Talher Colher,Utensilios Cozinha,"R$2,00"
524,Talher Garfo,Utensilios Cozinha,"R$2,00"
732,Tapete,EQUIPAMENTO,"R$10,00"
768,Tapioca,XCafé da Manhã,"R$0,00"
1098,Tinto de verão,DRINKS,"R$22,90"
464,Tolca (10unid.),DESCARTAVEL,"R$3,00"
817,Torta Doce,XCafé da Manhã,"R$0,00"
766,Torta Frango,XCafé da Manhã,"R$0,00"
767,Torta Leite cond.,XCafé da Manhã,"R$0,00"
818,Torta Salgada,XCafé da Manhã,"R$0,00"
816,Torta de Banana,XCafé da Manhã,"R$0,00"
520,Travessa Conj,Utensilios Cozinha,"R$20,00"
1004,Travessa Inox,Utensilios Cozinha,"R$10,00"
985,Travessa de Plástico,Utensilios Cozinha,"R$20,00"
535,Travessa tampa,Utensilios Cozinha,"R$35,00"
613,Trena,GAVETEIRO,"R$10,00"
616,Trincha 1/2,GAVETEIRO,"R$5,00"
427,Trincha 2/5,GAVETEIRO,"R$35,00"
555,Trincha 3/4,GAVETEIRO,"R$5,00"
933,U.FONDUE - CUMBUCA GRANDE,BAR PRODUTOS,"R$6,00"
932,U.FONDUE - CUMBUCA PEQUENA,BAR PRODUTOS,"R$6,00"
938,U.FONDUE - FOGAREIRO BASE,BAR PRODUTOS,"R$6,00"
939,U.FONDUE - FOGAREIRO BASE REDUÇÃO,BAR PRODUTOS,"R$6,00"
936,U.FONDUE - FOGAREIRO GEL,BAR PRODUTOS,"R$6,00"
935,U.FONDUE - FOGAREIRO PRATO,BAR PRODUTOS,"R$6,00"
937,U.FONDUE - FOGAREIRO TAMPA,BAR PRODUTOS,"R$6,00"
